waypoint,joint0_desired,joint0_actual,joint1_desired,joint1_actual,joint2_desired,joint2_actual,joint3_desired,joint3_actual,joint4_desired,joint4_actual,joint5_desired,joint5_actual,joint_error,ee_error,clearance
0,-0.9353,-0.9353887896527152,0.50825,0.5077437903122387,-1.78275,-1.7831028069336226,2.8453,2.846773498322218,1.5708,1.5706842020745782,-2.5061,-2.5083965716167227,0.001143638363489693,0.000431,0.0631
1,-0.9353000000000001,-0.9349433886149343,0.5193,0.5179820200404526,-1.7875333333333334,-1.790564960457601,2.839033333333333,2.8394081822054895,1.5708,1.5738557578161083,-2.5061,-2.504794508429006,0.0019251615353835898,0.001234,0.0169
2,-0.9353000000000001,-0.9359831705057774,0.5414,0.5416909557068793,-1.7969,-1.7968871347996926,2.826333333333333,2.824514660732404,1.5708,1.5727686570766386,-2.5061,-2.5086383077850405,0.0015371906086035815,0.000573,0.0218
3,-0.9353000000000001,-0.9385308448105164,0.5634666666666667,0.5634786766409005,-1.8057333333333334,-1.8075858260837565,2.813133333333333,2.813393753596691,1.5708,1.5728390056682655,-2.5061,-2.504614420384487,0.001839499091342784,0.001447,0.019
4,-0.9353000000000001,-0.9354968155274914,0.5854666666666667,0.5906396655192084,-1.814,-1.8147827780979078,2.7994,2.797145834314586,1.5708,1.571483171671056,-2.5061,-2.5035755459663043,0.0025603466454270766,0.002226,0.0226
5,-0.9353000000000001,-0.9364910960875127,0.032333333333333325,0.033273867043152335,-0.6023333333333334,-0.6013366937033697,2.140833333333333,2.1398086539626955,1.5708,1.5708945399521075,-2.5061,-2.504686322310049,0.0010290767972012775,0.00132,0.0195
6,-0.9353000000000001,-0.9340849026700724,-0.5228333333333334,-0.5202118004333995,0.6143,0.6140593348934426,1.4793333333333332,1.4783414422771894,1.5708,1.5659215220156835,-2.5061,-2.5079120574100506,0.0024655548168105263,0.002149,0.0237
7,-0.9353000000000001,-0.9321756146808035,-1.0798666666666668,-1.0770244918198069,1.8355333333333335,1.8345023797969953,0.8151666666666667,0.8175246984150053,1.5708,1.5704352601863671,-2.5061,-2.503602978478092,0.002266828622242807,0.001435,0.024
