waypoint,joint0_desired,joint0_actual,joint1_desired,joint1_actual,joint2_desired,joint2_actual,joint3_desired,joint3_actual,joint4_desired,joint4_actual,joint5_desired,joint5_actual,joint_error,ee_error,clearance
0,-0.9353,-0.9330634956713253,0.50825,0.5081243561601981,-1.78275,-1.7844547637580845,2.8453,2.8425212994224602,1.5708,1.5694869609705586,-2.5061,-2.5081961797627605,0.0019045198628439113,0.001128,0.0629
1,-0.9353000000000001,-0.9357643225666482,0.5193,0.5187643170323655,-1.7875333333333334,-1.7918407459242154,2.839033333333333,2.8405343115995954,1.5708,1.5738899896876806,-2.5061,-2.50581925534073,0.0022706880200089696,0.00151,0.0261
2,-0.9353000000000001,-0.9324462507344311,0.5414,0.5420244598006934,-1.7969,-1.79765928062082,2.826333333333333,2.82505122782983,1.5708,1.5717366673927649,-2.5061,-2.5072346992525754,0.0014673686593779337,0.00116,0.0165
3,-0.9353000000000001,-0.9371002571230299,0.5634666666666667,0.564084018013025,-1.8057333333333332,-1.804542099666475,2.813133333333333,2.81005899596659,1.5708,1.5718443006650118,-2.5061,-2.5026110630914093,0.0021508091856535573,0.001282,0.0232
4,-0.9353000000000001,-0.9367212071743857,0.5854666666666667,0.580687237250995,-1.814,-1.8145925956239524,2.7994,2.804170152778953,1.5708,1.5686909142645884,-2.5061,-2.5068694456546017,0.0029723333072043186,0.002463,0.0194
5,-0.9353000000000001,-0.9375124132418975,0.032333333333333325,0.030290605316335477,-0.6023333333333333,-0.6008220113634185,2.140833333333333,2.1409833558548765,1.5708,1.5722991890710818,-2.5061,-2.505718075266417,0.0015147907078230125,0.001887,0.0211
6,-0.9353000000000001,-0.9319607080370201,-0.5228333333333334,-0.5226924772854398,0.6143,0.616885205619728,1.4793333333333332,1.4815296560793636,1.5708,1.5689595211268041,-2.5061,-2.50599294982309,0.0020847324034638103,0.002595,0.0174
7,-0.9353000000000001,-0.9389497760375064,-1.0798666666666668,-1.0821488063289157,1.8355333333333335,1.8338112197318672,0.8151666666666667,0.8136590070814688,1.5708,1.5722184140990567,-2.5061,-2.5061734880479634,0.0020730427834769662,0.00217,0.0188
