waypoint,joint0_desired,joint0_actual,joint1_desired,joint1_actual,joint2_desired,joint2_actual,joint3_desired,joint3_actual,joint4_desired,joint4_actual,joint5_desired,joint5_actual,joint_error,ee_error,clearance
0,-1.1799,1.0839617759779172,-0.2488,0.06987500992070626,0.005349999999999966,-2.8543022320602436,1.81425,0.8006855641415511,1.5708,-0.9099033719986702,-2.7507,-2.7817380541392303,1.8523138789676172,0.932938,0.05
1,-1.1799,1.0836815588111104,-0.42346666666666666,0.06938458608048341,0.38536666666666664,-2.850429333754763,1.6089,0.8100580725741091,1.5708,-0.9069947570033586,-2.7507,-2.7571567370060044,1.9414228699318747,0.919767,0.015
2,-1.1799,1.0836779043171212,-0.7726666666666667,0.0693835036851682,1.1451666666666667,-2.8504289606569744,1.1982666666666668,0.8100603569187746,1.5708,-0.9069916858951993,-2.7507,-2.7571552711243936,2.1636317956749935,0.810385,0.015
3,-1.1799,1.0836771494427462,-0.7634333333333334,0.0693830565760844,1.1546,-2.8504290072633607,1.1796,0.810060782750264,1.5708,-0.9069906971487486,-2.7507,-2.7571543992984435,2.1653971780035635,0.810612,0.015
4,-1.1799,1.083676740904363,-0.7538,0.06938267832608772,1.1634,-2.8504290224889464,1.1612,0.8100609670277628,1.5708,-0.9069902878621645,-2.7507,-2.757154324243736,2.1669878401072493,0.810951,0.015
5,-1.1799,1.0836766239668902,-0.7437999999999999,0.06938253115151986,1.1715666666666666,-2.850429027970506,1.1430666666666667,0.8100610203172595,1.5708,-0.9069901621413468,-2.7507,-2.757154204148879,2.168404668340126,0.811401,0.015
6,-1.1799,1.0836765528635621,-0.7334333333333333,0.06938241165157306,1.1790999999999998,-2.8504290293146144,1.1252,0.8100610509954554,1.5708,-0.9069901036905805,-2.7507,-2.757154253951564,2.169646443612387,0.811965,0.015
7,-1.1799,1.083676557543358,-0.7227,0.06938238890245119,1.1859666666666666,-2.8504290282083784,1.1075666666666666,0.8100610481160267,1.5708,-0.9069901112746575,-2.7507,-2.757154238718354,2.1707010631772152,0.812656,0.015
