waypoint,joint0_desired,joint0_actual,joint1_desired,joint1_actual,joint2_desired,joint2_actual,joint3_desired,joint3_actual,joint4_desired,joint4_actual,joint5_desired,joint5_actual,joint_error,ee_error,clearance
0,-0.9353,-0.9376110904745621,0.50825,0.5117330978673554,-1.78275,-1.7839811736814277,2.8453,2.8484579052912657,1.5708,1.5690692688041805,-2.5061,-2.5050989245665147,0.0023437451117582094,0.001289,0.0758
1,-0.9353000000000001,-0.9339360904429135,0.5193,0.5164125618259289,-1.7875333333333334,-1.7880246439239782,2.839033333333333,2.8415228849850056,1.5708,1.5722003997504157,-2.5061,-2.510341996947505,0.002469563374884521,0.001614,0.0217
2,-0.9353000000000001,-0.9340224185676704,0.5414,0.543109504336215,-1.7969,-1.7967482512630826,2.826333333333333,2.825186055669768,1.5708,1.5692351169864869,-2.5061,-2.5070704754241553,0.0012439570265295808,0.00101,0.0156
3,-0.9353000000000001,-0.931821243647777,0.5634666666666667,0.5653699286958294,-1.8057333333333332,-1.8082501657752352,2.813133333333333,2.8119658964937786,1.5708,1.5747782279386726,-2.5061,-2.5036596008682346,0.0027447936133433272,0.001569,0.0335
4,-0.9353000000000001,-0.933640127346139,0.5854666666666667,0.5815238872161685,-1.814,-1.814842359522575,2.7994,2.800194751169313,1.5708,1.5725734980557526,-2.5061,-2.509258699006354,0.002336826936082511,0.001858,0.0248
5,-0.9353000000000001,-0.9398898704897198,0.032333333333333325,0.0317660677226552,-0.6023333333333333,-0.6020323941261533,2.140833333333333,2.1424450517006384,1.5708,1.572237836014804,-2.5061,-2.5082426780603013,0.0022633067093285205,0.0032,0.0163
6,-0.9353000000000001,-0.9356485893553627,-0.5228333333333334,-0.5251383736047244,0.6143,0.6123912944871445,1.4793333333333332,1.478943812666013,1.5708,1.5740148294010219,-2.5061,-2.5077480272348156,0.0019270326982543959,0.00212,0.0298
7,-0.9353000000000001,-0.9340101706544089,-1.0798666666666668,-1.0798389624946312,1.8355333333333335,1.8348260415615492,0.8151666666666667,0.8157138056347588,1.5708,1.56716068629509,-2.5061,-2.5068689002144864,0.0016482243852763688,0.000826,0.0183
