waypoint,joint0_desired,joint0_actual,joint1_desired,joint1_actual,joint2_desired,joint2_actual,joint3_desired,joint3_actual,joint4_desired,joint4_actual,joint5_desired,joint5_actual,joint_error,ee_error,clearance
0,-0.9353,-0.9392965316794832,0.50825,0.5064654257472547,-1.78275,-1.7821603926580993,2.8453,2.844203288784619,1.5708,1.5721587701334152,-2.5061,-2.5082218579678455,0.0021235159738591585,0.001856,0.0888
1,-0.9353000000000001,-0.9349908151172027,0.5193,0.5182071465907665,-1.7875333333333334,-1.7931443658407014,2.839033333333333,2.8419621323598703,1.5708,1.570634941521137,-2.5061,-2.5089012242022344,0.0028643083730351894,0.002171,0.0244
2,-0.9353000000000001,-0.9333102896036495,0.5414,0.5364422813103903,-1.7969,-1.7958188909085278,2.826333333333333,2.826856313090276,1.5708,1.576063449355539,-2.5061,-2.507074651004388,0.0031260750273350256,0.002015,0.0176
3,-0.9353000000000001,-0.9327384707316958,0.5634666666666667,0.5662962828981335,-1.8057333333333332,-1.8015678249532845,2.813133333333333,2.8114832339554456,1.5708,1.573288288399898,-2.5061,-2.503711865226046,0.0027849959632094065,0.002031,0.0178
4,-0.9353000000000001,-0.9352086342362995,0.5854666666666667,0.5842628133103647,-1.814,-1.815231991568292,2.7994,2.8003374707014825,1.5708,1.5698798634300126,-2.5061,-2.5063237457520504,0.0008898481720426275,0.000795,0.0249
5,-0.9353000000000001,-0.9330892001026222,0.032333333333333325,0.027362183965481495,-0.6023333333333333,-0.6048412494467241,2.140833333333333,2.139585694665373,1.5708,1.5727533919023304,-2.5061,-2.506185932373453,0.0026226364596919154,0.004107,0.016
6,-0.9353000000000001,-0.9344140108241,-0.5228333333333334,-0.5235491401335559,0.6143,0.6154933723563399,1.4793333333333332,1.480800507966484,1.5708,1.575056517623131,-2.5061,-2.504109181453435,0.0021195674063932296,0.000554,0.0308
7,-0.9353000000000001,-0.9348022401022554,-1.0798666666666668,-1.0774239280267175,1.8355333333333335,1.8358452035383714,0.8151666666666667,0.8148347346621789,1.5708,1.573731269104442,-2.5061,-2.5056839571683738,0.0015909959700190902,0.00105,0.0173
