waypoint,joint0_desired,joint0_actual,joint1_desired,joint1_actual,joint2_desired,joint2_actual,joint3_desired,joint3_actual,joint4_desired,joint4_actual,joint5_desired,joint5_actual,joint_error,ee_error,clearance
0,-1.202,-1.2019685496565258,0.46935,0.47186668628169115,-1.63535,-1.6340936816264788,2.73685,2.738226381457444,1.5708,1.5670831806117067,-2.7728,-2.7720111320105136,0.002010162506143423,0.001185,0.0586
1,-1.202,-1.1996686896109312,0.47973333333333334,0.4790421949500495,-1.6400333333333332,-1.6411363584111085,2.7311333333333336,2.7326975586369313,1.5708,1.5695208513127363,-2.7728,-2.772173755865094,0.0013907161583321637,0.001448,0.0254
2,-1.202,-1.2017164100812332,0.5005000000000001,0.5017748858344472,-1.6491999999999998,-1.646051837578249,2.7195666666666667,2.7172605176093945,1.5708,1.57323576159492,-2.7728,-2.7713136850388205,0.0020443855618129544,0.001493,0.0165
3,-1.202,-1.1969372207105182,-0.004866666666666686,-0.004591260784120597,-0.5471,-0.5468289846303784,2.1228000000000002,2.120047333051982,1.5708,1.5707383073183447,-2.7728,-2.7716639050472214,0.0024032174586072637,0.003417,0.0189
4,-1.202,-1.2032286657815603,-0.5126,-0.5090415540637659,0.5605666666666667,0.5608886803130589,1.5228666666666666,1.5240887373704355,1.5708,1.5734153267027386,-2.7728,-2.770691794157806,0.0021234316688036768,0.002601,0.0159
5,-1.202,-1.201154141180069,-1.0225666666666666,-1.0183608748163167,1.6734333333333333,1.6729183783636536,0.9199333333333334,0.9157056198022031,1.5708,1.5717769575933953,-2.7728,-2.7715685321852317,0.002549962799464873,0.002236,0.0269
6,-1.202,-1.2010467847098945,-1.0086,-1.0062670613219575,1.6804,1.6789925964709829,0.8989666666666668,0.8994665178642783,1.5708,1.572155951283636,-2.7728,-2.7718234699557773,0.0013768365304145948,0.000841,0.0299
7,-1.202,-1.2008274060924617,-0.9942333333333333,-0.9922121482166857,1.6868333333333334,1.6864215920040313,0.8781666666666667,0.8810093918356805,1.5708,1.5712001083126006,-2.7728,-2.7663560510955474,0.0030385124431088536,0.000739,0.0166
